M_SIGLAUNIVOCA;M_SIGLAAZ;DESCRIZIONE;NOMEBREVE;COORDX;COORDY;TIPO;COMUNE;LOCALITA;STAMPAPERORARIO;IDDISEGNO;FR;SOPPRESSA;STALLO
RE321018;321018;VIA SARAGAT;NULL;631283,791;951566,751;1;NULL;NULL;S;156631283;S;N;NULL
RE321201;321201;INC. VIA FERRAVILLA;NULL;628601,981;952894,498;1;NULL;NULL;S;289428601;S;N;NULL
RE321204;321204;CAVAZZOLI - SCUOLE;NULL;627866,125;953363,188;1;NULL;NULL;S;336327866;S;N;NULL
RE321205;321205;CAVAZZOLI;NULL;627533,032;953669,865;1;NULL;NULL;S;366927533;S;N;NULL
RE321206;321206;CAVAZZOLI - LATTERIA;NULL;627217,543;954003,842;1;NULL;NULL;S;400327217;S;N;NULL
RE321207;321207;CAVAZZOLI - VIA RINALDI 10;NULL;626845;954162,688;1;NULL;NULL;S;416226845;S;N;NULL
RE321208;321208;CAVAZZOLI - EX CANTINA;NULL;626542,422;954287,656;1;NULL;NULL;S;428726542;S;N;NULL
RE321209;321209;FOSSA MODOLENA;NULL;625812,191;954473,77;1;NULL;NULL;S;447325812;S;N;NULL
RE321210;321210;INC. VIA FERRARONI;NULL;625627,88;954520,682;1;NULL;NULL;S;452025627;S;N;NULL
RE321211;321211;RONCOCESI - LATTERIA;NULL;625015,812;954812,75;1;NULL;NULL;S;481225015;S;N;NULL
RE321212;321212;PODERE GAZZOLO;NULL;625465,717;954586,207;1;NULL;NULL;N;458625465;S;N;NULL
RE321213;321213;RONCOCESI - CHIESA;NULL;625070,562;955166,688;1;NULL;NULL;S;516625070;S;N;NULL
RE321214;321214;CAVAZZOLI - VIA RINALDI 54;NULL;627686,125;953547,75;1;NULL;NULL;S;354727686;S;N;NULL
RE321215;321215;ZONA ANNONARIA 3;NULL;628260,062;952560,5;1;NULL;NULL;S;256028260;S;N;NULL
RE321216;321216;ZONA ANNONARIA 2;NULL;628044,562;952462,875;1;NULL;NULL;S;246228044;S;N;NULL
RE321217;321217;ZONA ANNONARIA 1;NULL;627840,875;952545,312;1;NULL;NULL;S;254527840;S;N;NULL
RE321232;321232;VIA HIROSHIMA - INC. VIA GUERNICA;NULL;627548,53;952955,959;1;NULL;NULL;S;295527548;S;N;NULL
RE321301;321301;VILLAGGIO CROSTOLO;NULL;628349;953825,75;1;NULL;NULL;S;382528349;S;N;NULL
RE321303;321303;VIA DEI GONZAGA 82;NULL;627918,5;955097,25;1;NULL;NULL;S;509727918;S;N;NULL
RE321305;321305;SESSO - INC. VIA MANFREDI;NULL;627989,312;955554,375;1;NULL;NULL;S;555427989;S;N;NULL
RE321308;321308;SESSO - MONUMENTO CADUTI;NULL;627988,625;955705,375;1;NULL;NULL;S;570527988;S;N;NULL
RE321309;321309;INC. VIA MUGNONE;NULL;628707,75;952480,375;1;NULL;NULL;S;248028707;S;N;NULL
RE321310;321310;VIALE TRENTO TRIESTE;NULL;628779,115;951531,596;4;NULL;NULL;N;153128779;S;N;NULL
RE321311;321311;CASERMA ZUCCHI;ZUCCHI SETTORE A;628968,336;951312,288;6;NULL;NULL;S;131228968;S;N;NULL
RE321401;321401;VIA DELLE ORTOLANE;NULL;630401,25;952027,625;1;NULL;NULL;S;202730401;S;N;NULL
RE321402;321402;DIREZIONALE CHIONSO;NULL;630681,438;952079,75;1;NULL;NULL;S;207930681;S;N;NULL
RE321403;321403;CROCE ROSSA;NULL;630881,875;951952,125;1;NULL;NULL;S;195230881;S;N;NULL
RE321404;321404;VIA MOZART 5;NULL;631396,312;952085,75;1;NULL;NULL;S;208531396;S;N;NULL
RE321405;321405;VIA MOZART 11;NULL;631672,875;952160,938;1;NULL;NULL;S;216031672;S;N;NULL
RE321406;321406;CIRENAICA;NULL;632573;952795,812;1;NULL;NULL;S;279532573;S;N;NULL
RE321407;321407;VIA MOZART 32;NULL;632876,625;953584,812;1;NULL;NULL;S;358432876;S;N;NULL
RE321408;321408;INC. VIA RONZONI;NULL;633437,188;954254,812;1;NULL;NULL;S;425433437;S;N;NULL
RE321409;321409;INC. VIA FANTUZZI;NULL;634060,25;954351,75;1;NULL;NULL;S;435134060;S;N;NULL
RE321410;321410;MASSENZATICO - CHIESA;NULL;634457,312;954251,75;1;NULL;NULL;S;425134457;S;N;NULL
RE321411;321411;MASSENZATICO - SCUOLE MEDIE;NULL;634529,125;954499,312;1;NULL;NULL;S;449934529;S;N;NULL
RE321413;321413;MASSENZATICO;NULL;634610,75;954948,062;1;NULL;NULL;S;494834610;S;N;NULL
RE321414;321414;MASSENZATICO - CANTINA;NULL;634605,5;955230,375;1;NULL;NULL;S;523034605;S;N;NULL
RE321415;321415;MASSENZATICO - SC. ELEMENTARI;NULL;634241,5;955766,5;1;NULL;NULL;S;576634241;S;N;NULL
RE321416;321416;MASSENZATICO - INC. BAGNOLO;NULL;633925,175;956159,869;1;NULL;NULL;S;615933925;S;N;NULL
RE321417;321417;PRATOFONTANA - VIA SPAGNI 61;NULL;633354,191;956264,857;1;NULL;NULL;S;626433354;S;N;NULL
RE321418;321418;PRATOFONTANA - PONTE NUOVO;NULL;632789,219;956136,17;1;NULL;NULL;S;613632789;S;N;NULL
RE321419;321419;PRATOFONTANA;NULL;632418,639;955600,21;1;NULL;NULL;S;560032418;S;N;NULL
RE321420;321420;PRATOFONTANA - VIA SPAGNI 7;NULL;632236,016;955101,632;1;NULL;NULL;S;510132236;S;N;NULL
RE321901;321901;CISL;NULL;630829,688;950555,375;1;NULL;NULL;S;55530829;S;N;NULL
RE321902;321902;INC. VIA SANI;NULL;630542,75;950682;1;NULL;NULL;S;68230542;S;N;NULL
RE321904;321904;PORTA S. PIETRO;NULL;630020;950614,875;1;NULL;NULL;S;61430020;S;N;NULL
RE321905;321905;CHIESA S. PIETRO;NULL;629842,312;950696,875;1;NULL;NULL;S;69629842;S;N;NULL
RE321906;321906;MERCATO COPERTO;NULL;629545,438;950830,5;1;NULL;NULL;S;83029545;S;N;NULL
RE321907;321907;PIAZZA DEL MONTE;NULL;629312,252;950959,155;1;NULL;NULL;S;95929312;S;N;NULL
RE321908;321908;INC. VIA MONZERMONE;NULL;629132,828;951030,662;1;NULL;NULL;S;103029132;S;N;NULL
RE321909;321909;PIAZZA GIOBERTI;NULL;628959,265;951110,955;1;NULL;NULL;S;111028959;S;N;NULL
RE321910;321910;PORTA S. STEFANO;NULL;628722,077;951218,917;1;NULL;NULL;S;121828722;S;N;NULL
RE321911;321911;VIA FRANCHETTI;NULL;628913,079;951265,907;5;NULL;NULL;N;126528913;S;N;NULL
RE322003;322003;VIA MAZZINI;NULL;629007,641;951177,553;1;NULL;NULL;N;117729007;S;N;NULL
RE322101;322101;PARCHEGGIO - STADIO;NULL;630622,688;952538,5;4;NULL;NULL;S;253830622;S;N;NULL
RE322102;322102;PARCHEGGIO - GASOMETRO;NULL;629466,641;951628,305;1;NULL;NULL;S;162829466;S;N;NULL
RE322103;322103;VIA NOBILI;NULL;629392;951292,875;1;NULL;NULL;S;129229392;S;N;NULL
RE322104;322104;VIA ROMA;NULL;629563,625;951055,438;1;NULL;NULL;S;105529563;S;N;NULL
RE322105;322105;PNEUMOLOGIA;NULL;629204,954;949289,993;NULL;NULL;NULL;S;928929204;S;N;NULL
RE322106;322106;PRONTO SOCCORSO;NULL;629456,031;949351,548;NULL;NULL;NULL;S;935129456;S;N;NULL
RE322107;322107;CORE;NULL;629281,319;949236,668;4;NULL;NULL;S;923629281;S;N;NULL
RE323006;323006;ISTITUTO ZANELLI/MOTTI;NULL;627149,183;949586,941;5;NULL;NULL;S;958627149;S;N;NULL
RE323008;323008;ISTITUTO GALVANI/IODI - VIA DIMITROV P;NULL;627721,812;948334,062;5;NULL;NULL;S;833427721;S;N;NULL
RE323017;323017;ISTITUTO CITTA' DEL TRICOLORE;NULL;626082,877;947019,017;5;NULL;NULL;S;701926082;S;N;NULL
RE323018;323018;S. CROCE - STAZIONE;NULL;630176,062;951989,5;2;NULL;NULL;S;198930176;S;N;NULL
RE323021;323021;PALESTRA - VIA ASSALINI;NULL;627806,75;949068,625;2;NULL;NULL;S;906827806;S;N;NULL
RE323022;323022;PALESTRA - ISTITUTO I.P.F.;NULL;627653,625;948547,312;2;NULL;NULL;S;854727653;S;N;NULL
RE323023;323023;PALESTRA - VIA VERDI;NULL;628339,938;950947,5;2;NULL;NULL;S;94728339;S;N;NULL
RE323024;323024;PALESTRA - VIALE DEI MILLE;NULL;629698,562;950383,562;2;NULL;NULL;S;38329698;S;N;NULL
RE323025;323025;PALESTRA - VIA DEI PRATONIERI;NULL;626673,5;952798,938;2;NULL;NULL;S;279826673;S;N;NULL
RE323026;323026;PALESTRA - DAINO GAVASSA;NULL;633156,938;951730,562;2;NULL;NULL;S;173033156;S;N;NULL
RE323027;323027;PARCHEGGIO - FORO BOARIO (2);NULL;628721,875;952215,938;2;NULL;NULL;S;221528721;S;N;NULL
RE331001;331001;CASTELNOVO MONTI - VIA SOZZI 30;NULL;610909,42;920812,503;NULL;NULL;NULL;S;81210909;S;N;NULL
RE331002;331002;CASTELNOVO MONTI - VIA SOZZI 50;NULL;610485,453;920770,726;NULL;NULL;NULL;S;77010485;S;N;NULL
RE331003;331003;VIROLA;NULL;609826,211;921052,357;NULL;NULL;NULL;S;105209826;S;N;NULL
RE331004;331004;FRASCARO - CIMITERO;NULL;609551,31;921872,645;NULL;NULL;NULL;S;187209551;S;N;NULL
RE331005;331005;FRASCARO;NULL;609722,695;922052,946;NULL;NULL;NULL;S;205209722;S;N;NULL
RE331006;331006;BURANO;NULL;610378,4;922500,478;NULL;NULL;NULL;S;250010378;S;N;NULL
RE331501;331501;CASTELNOVO MONTI - VIA SOZZI 30;NULL;610926,116;920810,228;NULL;NULL;NULL;S;81010926;S;N;NULL
RE331502;331502;CASTELNOVO MONTI - VIA SOZZI 50;NULL;610497,942;920771,573;NULL;NULL;NULL;S;77110497;S;N;NULL
RE331503;331503;VIROLA;NULL;609822,851;921039,869;NULL;NULL;NULL;S;103909822;S;N;NULL
RE331504;331504;FRASCARO - CIMITERO;NULL;609547,315;921862,71;NULL;NULL;NULL;S;186209547;S;N;NULL
RE331505;331505;FRASCARO;NULL;609713,062;922051,009;NULL;NULL;NULL;S;205109713;S;N;NULL
RE331506;331506;BURANO;NULL;610374,008;922509,845;NULL;NULL;NULL;S;250910374;S;N;NULL
RE332000;332000;CROCE - INC. VIA TERRASANTA;NULL;613936,779;921633,685;NULL;NULL;NULL;S;163313936;S;N;NULL
RE332001;332001;CA' MAGNANO;NULL;613690,414;922418,755;NULL;NULL;NULL;S;241813690;S;N;NULL
RE332002;332002;QUARQUA;NULL;613540,224;922812,032;NULL;NULL;NULL;S;281213540;S;N;NULL
RE332003;332003;CA' DEL CAVO;NULL;613545,757;923169,743;NULL;NULL;NULL;S;316913545;S;N;NULL
RE332500;332500;CROCE - INC. VIA TERRASANTA;NULL;613931,184;921636,589;NULL;NULL;NULL;S;163613931;S;N;NULL
RE332501;332501;CA' MAGNANO;NULL;613688,43;922417,194;NULL;NULL;NULL;S;241713688;S;N;NULL
RE332502;332502;QUARQUA;NULL;613536,149;922813,197;NULL;NULL;NULL;S;281313536;S;N;NULL
RE334030;334030;CA' DE CAROLI - ENEL;NULL;633142,423;939121,24;2;NULL;NULL;S;912133142;S;N;NULL
RE334040;334040;CA' DE CAROLI;NULL;633030,312;938744,438;2;NULL;NULL;S;874433030;S;N;NULL
RE334050;334050;CA' DE CAROLI - VIA STRUCCHI;NULL;633350,938;938558,125;2;NULL;NULL;S;855833350;S;N;NULL
RE334060;334060;VENTOSO - SCUOLE;NULL;633703,256;938527,874;2;NULL;NULL;S;852733703;S;N;NULL
RE334070;334070;VENTOSO;NULL;634052,688;938322,562;2;NULL;NULL;S;832234052;S;N;NULL
RE334080;334080;VENTOSO - INC. VIA RINALDINI;NULL;634459;938338,75;2;NULL;NULL;S;833834459;S;N;NULL
RE334081;334081;VENTOSO - INC. VIA M. EVANGELO;NULL;634611,847;938307,309;2;NULL;NULL;S;830734611;S;N;NULL
RE334090;334090;CA' DE CAITI;NULL;635058,552;938150,665;2;NULL;NULL;S;815035058;S;N;NULL
RE334100;334100;S. RUFFINO - CHIESA;NULL;635377,15;937991,565;2;NULL;NULL;S;799135377;S;N;NULL
RE334101;334101;SCANDIANO - STAZIONE;NULL;634515,662;940127,156;5;NULL;NULL;S;12734515;S;N;NULL
RE334110;334110;S. RUFFINO - INC. VIA DEI COLLI;NULL;635532,625;938061,188;2;NULL;NULL;S;806135532;S;N;NULL
RE334120;334120;S. RUFFINO - VIA BROLO;NULL;635785,5;938601,438;2;NULL;NULL;S;860135785;S;N;NULL
RE334130;334130;SCANDIANO - VIA GOBETTI;NULL;634725,963;939425,897;2;NULL;NULL;S;942534725;S;N;NULL
RE334530;334530;CA' DE CAROLI - ENEL;NULL;633126,375;939066,188;2;NULL;NULL;S;906633126;S;N;NULL
RE334540;334540;CA' DE CAROLI;NULL;633028,923;938761,342;2;NULL;NULL;S;876133028;S;N;NULL
RE334550;334550;CA' DE CAROLI - VIA STRUCCHI;NULL;633339,983;938574,071;2;NULL;NULL;S;857433339;S;N;NULL
RE334560;334560;VENTOSO - SCUOLE;NULL;633722,301;938537,793;2;NULL;NULL;S;853733722;S;N;NULL
RE334570;334570;VENTOSO;NULL;634050,881;938338,864;2;NULL;NULL;S;833834050;S;N;NULL
RE334580;334580;VENTOSO - INC. VIA RINALDINI;NULL;634471,844;938352,751;2;NULL;NULL;S;835234471;S;N;NULL
RE334581;334581;VENTOSO - INC. VIA M. EVANGELO;NULL;634611,906;938313,955;2;NULL;NULL;S;831334611;S;N;NULL
RE334590;334590;CA' DE CAITI;NULL;635032,366;938160,188;2;NULL;NULL;S;816035032;S;N;NULL
RE334600;334600;S. RUFFINO - CHIESA;NULL;635363,66;938002,674;2;NULL;NULL;S;800235363;S;N;NULL
RE334610;334610;S. RUFFINO - INC. VIA DEI COLLI;NULL;635520,38;938075,678;2;NULL;NULL;S;807535520;S;N;NULL
RE334620;334620;S. RUFFINO - VIA BROLO;NULL;635772,349;938590,143;5;NULL;NULL;S;859035772;S;N;NULL
RE335001;335001;S. VITTORIA - INC. VIA MAGNANA NUOVA;NULL;630073,375;968251,688;5;NULL;NULL;S;825130073;S;N;NULL
RE335002;335002;S. VITTORIA - VIA MAGNANO;NULL;630670,131;968653,691;2;NULL;NULL;S;865330670;S;N;NULL
RE335003;335003;CARROBBIO;NULL;631143,25;968921,562;2;NULL;NULL;S;892131143;S;N;NULL
RE335004;335004;CARROBBIO - STRADA S. BERNARDINO;NULL;631261,812;968980,5;2;NULL;NULL;S;898031261;S;N;NULL
RE335005;335005;S. BERNARDINO;NULL;632263,062;969498,562;2;NULL;NULL;S;949832263;S;N;NULL
RE335007;335007;CARROBBIOLI;NULL;632967,492;970562,498;2;NULL;NULL;S;56232967;S;N;NULL
RE335008;335008;CARROBBIOLI - VIA SACCO E VANZETTI;NULL;632872,938;970443,5;2;NULL;NULL;S;44332872;S;N;NULL
RE335009;335009;CARROBBIOLI - VIA ZECCHIERE;NULL;632454,215;970971,347;2;NULL;NULL;S;97132454;S;N;NULL
RE335011;335011;S. GIACOMO - CAVO FIUMA;NULL;631328;972080,438;2;NULL;NULL;S;208031328;S;N;NULL
RE335012;335012;S. GIACOMO;NULL;631270,125;972764,688;2;NULL;NULL;S;276431270;S;N;NULL
RE335013;335013;S. GIACOMO - INC. VIA MINELLI;NULL;631598,25;973252,5;2;NULL;NULL;S;325231598;S;N;NULL
RE335014;335014;SOLAROLO;NULL;631420,688;973959,375;2;NULL;NULL;S;395931420;S;N;NULL
RE335015;335015;PIEVE DI GUASTALLA - VIA SOLAROLO 31;NULL;631448,25;974447,5;2;NULL;NULL;S;444731448;S;N;NULL
RE335016;335016;S. ROCCO - VIA PONTE PIETRA;NULL;630746,31;969049,17;2;NULL;NULL;S;904930746;S;N;NULL
RE335017;335017;S. ROCCO - INC. VIA BERTOLUZZA;NULL;630798,466;969521,803;2;NULL;NULL;S;952130798;S;N;NULL
RE335018;335018;S. ROCCO - INC. VIA TIRELLI;NULL;630941,53;970027,347;2;NULL;NULL;S;2730941;S;N;NULL
RE335019;335019;S. ROCCO - CHIESA;NULL;631054,875;970424,938;2;NULL;NULL;S;42431054;S;N;NULL
RE335020;335020;S. ROCCO;NULL;631108,375;970606,5;2;NULL;NULL;S;60631108;S;N;NULL
RE335021;335021;S. ROCCO - INC. VIA GAZZOTTE;NULL;631209,667;970925,431;2;NULL;NULL;S;92531209;S;N;NULL
RE335022;335022;S. ROCCO - CASE RONCATE;NULL;631357,489;971432,701;2;NULL;NULL;S;143231357;S;N;NULL
RE335023;335023;S. BERNARDINO - CHIESA;NULL;631969,5;969342,062;2;NULL;NULL;S;934231969;S;N;NULL
RE335501;335501;S. VITTORIA - INC. VIA MAGNANA NUOVA;NULL;630087,981;968284,097;2;NULL;NULL;S;828430087;S;N;NULL
RE335502;335502;S. VITTORIA - VIA MAGNANO;NULL;630662,2;968673,519;2;NULL;NULL;S;867330662;S;N;NULL
RE335503;335503;CARROBBIO;NULL;631131,727;968934,456;2;NULL;NULL;S;893431131;S;N;NULL
RE335504;335504;CARROBBIO - STRADA S. BERNARDINO;NULL;631244,935;968999,63;2;NULL;NULL;S;899931244;S;N;NULL
RE335505;335505;S. BERNARDINO;NULL;632212,541;969493,744;2;NULL;NULL;S;949332212;S;N;NULL
RE335507;335507;CARROBBIOLI;NULL;632959,53;970560,832;2;NULL;NULL;S;56032959;S;N;NULL
RE335509;335509;CARROBBIOLI - VIA ZECCHIERE;NULL;632450,625;970958,312;2;NULL;NULL;S;95832450;S;N;NULL
RE335511;335511;S. GIACOMO - CAVO FIUMA;NULL;631326,562;972066,125;2;NULL;NULL;S;206631326;S;N;NULL
RE335512;335512;S. GIACOMO;NULL;631289,074;972783,938;2;NULL;NULL;S;278331289;S;N;NULL
RE335513;335513;S. GIACOMO - INC. VIA MINELLI;NULL;631585,056;973276,873;2;NULL;NULL;S;327631585;S;N;NULL
RE335514;335514;SOLAROLO;NULL;631415,704;973944,092;2;NULL;NULL;S;394431415;S;N;NULL
RE335515;335515;PIEVE DI GUASTALLA - VIA SOLAROLO 31;NULL;631435,875;974441,688;2;NULL;NULL;S;444131435;S;N;NULL
RE335516;335516;S. ROCCO - VIA PONTE PIETRA;NULL;630722,965;969034,922;2;NULL;NULL;S;903430722;S;N;NULL
RE335517;335517;S. ROCCO - INC. VIA BERTOLUZZA;NULL;630775,875;969506,312;2;NULL;NULL;S;950630775;S;N;NULL
RE335518;335518;S. ROCCO - INC. VIA TIRELLI;NULL;630928,84;970059,072;2;NULL;NULL;S;5930928;S;N;NULL
RE335519;335519;S. ROCCO - CHIESA;NULL;631046;970421,812;2;NULL;NULL;S;42131046;S;N;NULL
RE335520;335520;S. ROCCO;NULL;631102,938;970610,625;5;NULL;NULL;S;61031102;S;N;NULL
RE335521;335521;S. ROCCO - INC. VIA GAZZOTTE;NULL;631203,375;970951,875;2;NULL;NULL;S;95131203;S;N;NULL
RE335522;335522;S. ROCCO - CASE RONCATE;NULL;631346,062;971428,25;2;NULL;NULL;S;142831346;S;N;NULL
RE335523;335523;S. BERNARDINO - CHIESA;NULL;631960,329;969358,913;2;NULL;NULL;S;935831960;S;N;NULL
RE336001;336001;MANGANELLA DI SOPRA;NULL;637731,125;931221,188;2;54;Castellarano;S;122137731;S;N;NULL
RE336002;336002;CASA RAVAZZINI;NULL;637588,5;931706,188;2;54;Castellarano;S;170637588;S;N;NULL
RE336003;336003;CASE CAPPELLETTI;NULL;637239,5;931807,75;2;54;Castellarano;S;180737239;S;N;NULL
RE336004;336004;S. VALENTINO - VIA COVETTA;NULL;636100,062;931982,25;2;54;Castellarano;S;198236100;S;N;NULL
RE336005;336005;S. VALENTINO - CHIESA;NULL;635141,625;931661,5;2;54;Castellarano;S;166135141;S;N;NULL
RE336006;336006;S. VALENTINO;NULL;635450,375;931967,812;2;54;Castellarano;S;196735450;S;N;NULL
RE336008;336008;S. VALENTINO - LA CROCE;NULL;635489,875;932425,188;2;54;Castellarano;S;242535489;S;N;NULL
RE336009;336009;S. VALENTINO - CASE FERRI;NULL;635283,625;932958,188;2;54;Castellarano;S;295835283;S;N;NULL
RE336010;336010;S. VALENTINO - CASE FERRI 27;NULL;635313,25;933270,312;2;54;Castellarano;S;327035313;S;N;NULL
RE336011;336011;MONTEBABBIO - INC. VIA CADIROGGIO;NULL;634959,5;934420,438;2;54;Castellarano;S;442034959;S;N;NULL
RE336012;336012;MONTEBABBIO;NULL;634609,5;934701,562;2;54;Castellarano;S;470134609;S;N;NULL
RE336013;336013;MONTEBABBIO - CASTELLO;NULL;634195,938;934147,875;2;54;Castellarano;S;414734195;S;N;NULL
RE336101;336101;CADIROGGIO - INC. VIA A. DODI;NULL;638954,75;934688,5;2;54;Castellarano;S;468838954;S;N;NULL
RE336102;336102;CADIROGGIO - INC. VIA U. FOSCOLO;NULL;638706,688;934475,125;2;54;Castellarano;S;447538706;S;N;NULL
RE336103;336103;CADIROGGIO;NULL;638492,562;934470,688;2;54;Castellarano;S;447038492;S;N;NULL
RE336104;336104;CADIROGGIO - CHIESA;NULL;637901,875;934538,375;2;54;Castellarano;S;453837901;S;N;NULL
RE336105;336105;MONTI DI CADIROGGIO;NULL;636852,062;935188,062;2;54;Castellarano;S;518836852;S;N;NULL
RE336501;336501;MANGANELLA DI SOPRA;NULL;637736,25;931214,5;2;54;Castellarano;S;121437736;S;N;NULL
RE336502;336502;CASA RAVAZZINI;NULL;637580,562;931693,375;2;54;Castellarano;S;169337580;S;N;NULL
RE336503;336503;CASE CAPPELLETTI;NULL;637239,375;931801,312;2;54;Castellarano;S;180137239;S;N;NULL
RE336504;336504;S. VALENTINO - VIA COVETTA;NULL;636097,625;931971,875;2;54;Castellarano;S;197136097;S;N;NULL
RE336506;336506;S. VALENTINO;NULL;635442,188;931972,562;2;54;Castellarano;S;197235442;S;N;NULL
RE336508;336508;S. VALENTINO - LA CROCE;NULL;635484,188;932419,062;2;54;Castellarano;S;241935484;S;N;NULL
RE336509;336509;S. VALENTINO - CASE FERRI;NULL;635275,25;932948,688;2;54;Castellarano;S;294835275;S;N;NULL
RE336510;336510;S. VALENTINO - CASE FERRI 27;NULL;635305,625;933271,062;2;54;Castellarano;S;327135305;S;N;NULL
RE336511;336511;MONTEBABBIO - INC. VIA CADIROGGIO;NULL;635114,625;934332,812;2;54;Castellarano;S;433235114;S;N;NULL
RE336512;336512;MONTEBABBIO;NULL;634609,875;934691,312;2;54;Castellarano;S;469134609;S;N;NULL
RE336601;336601;CADIROGGIO - INC. VIA A. DODI;NULL;638960,688;934681,688;2;54;Castellarano;S;468138960;S;N;NULL
RE336602;336602;CADIROGGIO - INC. VIA U. FOSCOLO;NULL;638710,062;934467,562;2;54;Castellarano;S;446738710;S;N;NULL
RE336603;336603;CADIROGGIO;NULL;638490,688;934461,812;2;54;Castellarano;S;446138490;S;N;NULL
RE336604;336604;CADIROGGIO - CHIESA;NULL;637900,062;934527,438;2;54;Castellarano;S;452737900;S;N;NULL
RE337001;337001;CAMPOLUNGO - CASA ANCESCHI;NULL;613802,456;920713,057;2;NULL;NULL;S;71313802;S;N;NULL
RE337002;337002;CAMPOLUNGO;NULL;613947,562;920515,75;2;NULL;NULL;S;51513947;S;N;NULL
RE337003;337003;CASALE - INC. VIA FONTANACORNIA;NULL;613747,834;919874,282;2;NULL;NULL;S;987413747;S;N;NULL
RE337004;337004;CASALE;NULL;613615,444;919523,774;2;NULL;NULL;S;952313615;S;N;NULL
RE337005;337005;CASALE - CASE GHIRARDINI;NULL;613589,312;919007,559;2;NULL;NULL;S;900713589;S;N;NULL
RE337006;337006;RONCOPO';NULL;614009,5;918761,125;2;NULL;NULL;S;876114009;S;N;NULL
RE337007;337007;MARO;NULL;614793,375;918306,688;2;NULL;NULL;S;830614793;S;N;NULL
RE337008;337008;CA' DEL BUCO;NULL;614310,033;917642,165;2;NULL;NULL;S;764214310;S;N;NULL
RE337009;337009;VOLOGNO;NULL;613603,245;917093,932;2;NULL;NULL;S;709313603;S;N;NULL
RE337010;337010;VOLOGNO CHIESA;NULL;613304,485;917068,539;2;NULL;NULL;S;706813304;S;N;NULL
RE337011;337011;CA' DEL BUCO - CIVICO 11;NULL;614119,134;917479,527;2;NULL;NULL;S;747914119;S;N;NULL
RE337012;337012;GINEPRETO;NULL;612539,905;917983,115;2;NULL;NULL;S;798312539;S;N;NULL
RE337013;337013;GINEPRETO - INC. CHIESA;NULL;612220,91;918180,304;2;NULL;NULL;S;818012220;S;N;NULL
RE337014;337014;CASTELNOVO MONTI - VIA MACCHIUSA;NULL;613162,625;920926,438;2;NULL;NULL;S;92613162;S;N;NULL
RE337501;337501;CAMPOLUNGO - CASA ANCESCHI;NULL;613808,196;920717,871;2;NULL;NULL;S;71713808;S;N;NULL
RE337502;337502;CAMPOLUNGO;NULL;613964,938;920493,438;2;NULL;NULL;S;49313964;S;N;NULL
RE337503;337503;CASALE - INC. VIA FONTANACORNIA;NULL;613765,125;919913,188;2;NULL;NULL;S;991313765;S;N;NULL
RE337504;337504;CASALE;NULL;613619,518;919463,041;2;NULL;NULL;S;946313619;S;N;NULL
RE337505;337505;CASALE - CASE GHIRARDINI;NULL;613602,312;919003,25;2;NULL;NULL;S;900313602;S;N;NULL
RE337506;337506;RONCOPO';NULL;614008,438;918770,5;2;NULL;NULL;S;877014008;S;N;NULL
RE337507;337507;MARO;NULL;614799,062;918308;2;NULL;NULL;S;830814799;S;N;NULL
RE337508;337508;CA' DEL BUCO;NULL;614317,968;917633,039;2;NULL;NULL;S;763314317;S;N;NULL
RE337509;337509;VOLOGNO;NULL;613626,654;917079,649;2;NULL;NULL;S;707913626;S;N;NULL
RE337510;337510;VOLOGNO CHIESA;NULL;613296,625;917059,438;2;NULL;NULL;S;705913296;S;N;NULL
RE337511;337511;CA' DEL BUCO - CIVICO 11;NULL;614086,75;917436,375;2;NULL;NULL;S;743614086;S;N;NULL
RE337512;337512;GINEPRETO;NULL;612550,688;917976,5;2;NULL;NULL;S;797612550;S;N;NULL
RE337513;337513;GINEPRETO - INC. CHIESA;NULL;612208,312;918170,25;2;NULL;NULL;S;817012208;S;N;NULL
RE337514;337514;CASTELNOVO MONTI - VIA MACCHIUSA;NULL;613127,461;920971,02;2;NULL;NULL;S;97113127;S;N;NULL
RE339001;339001;CAMPOGRANDE;NULL;615837,101;906190,305;2;NULL;NULL;S;619015837;S;N;NULL
RE339002;339002;CAMPOGRANDE - INC. RIPAROTONDA;NULL;615428,625;906307,938;2;NULL;NULL;S;630715428;S;N;NULL
RE339003;339003;FEBBIO - TABACCHERIA;NULL;614380,125;906997,5;2;NULL;NULL;S;699714380;S;N;NULL
RE339004;339004;FEBBIO;NULL;614289,875;906971,75;2;NULL;NULL;S;697114289;S;N;NULL
RE339005;339005;ALPE DI CUSNA;NULL;614096,477;906129,56;2;NULL;NULL;S;612914096;S;N;NULL
RE339006;339006;RONCOPIANIGI;NULL;613691,221;907224,294;2;NULL;NULL;S;722413691;S;N;NULL
RE339007;339007;MONTE ORSARO;NULL;613492,85;908225,65;5;NULL;NULL;S;822513492;S;N;NULL
RE339008;339008;FEBBIO - INC. VIA LAGO GRANDE;NULL;614164,932;907050,211;2;NULL;NULL;S;705014164;S;N;NULL
RE339009;339009;FEBBIO - INC. VIA DEL VIVAIO;NULL;614510,51;906803,426;2;NULL;NULL;S;680314510;S;N;NULL
RE339501;339501;CAMPOGRANDE;NULL;615827,438;906175;2;NULL;NULL;S;617515827;S;N;NULL
