M_SIGLAUNIVOCA;M_SIGLAAZ;DESCRIZIONE;NOMEBREVE;COORDX;COORDY;TIPO;COMUNE;LOCALITA;STAMPAPERORARIO;IDDISEGNO;FR;SOPPRESSA;STALLO
RE352520;352520;S. GIOVANNI DI QUERCIOLA - LE RIPE;NULL;624535,978;932210,093;1;NULL;NULL;S;221024535;S;N;NULL
RE352521;352521;S. GIOVANNI DI QUERCIOLA - VIA CASE SULLA STRADA;NULL;624030,562;932148,812;1;NULL;NULL;S;214824030;S;N;NULL
RE352522;352522;S. GIOVANNI DI QUERCIOLA;NULL;623769,188;931929,812;5;NULL;NULL;S;192923769;S;N;NULL
RE352523;352523;S. GIOVANNI DI QUERCIOLA - INC. PREDALE;NULL;623392,396;931208,113;1;NULL;NULL;S;120823392;S;N;NULL
RE352524;352524;S. GIOVANNI DI QUERCIOLA - CASA CAGNI;NULL;623018,938;931125,25;5;NULL;NULL;S;112523018;S;N;NULL
RE352525;352525;CASINA - INC. CA' MAZZONI;NULL;622260,625;931418,438;1;NULL;NULL;S;141822260;S;N;NULL
RE352526;352526;CASINA - LA STRADA;NULL;621638,129;930556,418;1;NULL;NULL;S;55621638;S;N;NULL
RE352527;352527;CASINA - INC. GIANDETO;NULL;621138,74;929995,458;1;NULL;NULL;S;999521138;S;N;NULL
RE352528;352528;PANTANO;NULL;620240,938;927027,25;5;NULL;NULL;S;702720240;S;N;NULL
RE352529;352529;PANTANO - I VIALI;NULL;620652,505;926003,798;1;NULL;NULL;S;600320652;S;N;NULL
RE352530;352530;GIAVELLO;NULL;620719,963;925384,609;1;NULL;NULL;S;538420719;S;N;NULL
RE352531;352531;CIGARELLO;NULL;620578,438;925138,938;1;NULL;NULL;S;513820578;S;N;NULL
RE352532;352532;CA' GIROLDI - INC. CARPINETI;NULL;619500,625;927478,125;1;NULL;NULL;S;747819500;S;N;NULL
RE353001;353001;MONTECCHIO - BRAGLIA;NULL;613732,531;948568,313;1;NULL;NULL;S;856813732;S;N;NULL
RE353002;353002;BARCACCIA;NULL;613339,256;947133,028;1;NULL;NULL;S;713313339;S;N;NULL
RE353003;353003;CORNACCHIA;NULL;613244,488;946326,294;1;NULL;NULL;S;632613244;S;N;NULL
RE353004;353004;CORNACCHIA - STRADELLA;NULL;613017,656;944889,161;5;NULL;NULL;S;488913017;S;N;NULL
RE353005;353005;S. POLO - PIEVE;NULL;613045,25;943979,25;1;NULL;NULL;S;397913045;S;N;NULL
RE353006;353006;S. POLO - INC. VIA F. ARDEATINE;NULL;612993,451;943006,923;1;NULL;NULL;S;300612993;S;N;NULL
RE353007;353007;CIANO D'ENZA - STAZIONE;NULL;611905,062;939174,032;5;NULL;NULL;S;917411905;S;N;NULL
RE353008;353008;ROSSENA - VIA FONTANA MORTA;NULL;612923,312;937719,438;1;NULL;NULL;S;771912923;S;N;NULL
RE353009;353009;ROSSENA;NULL;613391,438;937514,562;5;NULL;NULL;S;751413391;S;N;NULL
RE353010;353010;ROSSENA - CASALECCHIO;NULL;614003,062;937189,375;1;NULL;NULL;S;718914003;S;N;NULL
RE353011;353011;ROSSENA - INC. CASALINO;NULL;614643,378;936840,257;1;NULL;NULL;S;684014643;S;N;NULL
RE353012;353012;ROSSENA - INC. CANOSSA;NULL;615193,125;936213,812;1;NULL;NULL;S;621315193;S;N;NULL
RE353013;353013;CEREDOLO DEI COPPI;NULL;615655,478;934957,02;5;NULL;NULL;S;495715655;S;N;NULL
RE353014;353014;MONTECCHIO - VIA PER S. POLO;NULL;614378,913;949871,971;1;NULL;NULL;S;987114378;S;N;NULL
RE353015;353015;MONTECCHIO - INC. VIA GOBETTI;NULL;614780,5;950452,688;1;NULL;NULL;S;45214780;S;N;NULL
RE353016;353016;CASALINO DI ROSSENA;NULL;614382,73;936409,558;1;NULL;NULL;N;640914382;S;N;NULL
RE353501;353501;MONTECCHIO - BRAGLIA;NULL;613767,428;948588,934;1;NULL;NULL;S;858813767;S;N;NULL
RE353502;353502;BARCACCIA;NULL;613372,531;947061,726;1;NULL;NULL;S;706113372;S;N;NULL
RE353503;353503;CORNACCHIA;NULL;613268,625;946342,375;5;NULL;NULL;S;634213268;S;N;NULL
RE353504;353504;CORNACCHIA - STRADELLA;NULL;613037,438;944893,375;1;NULL;NULL;S;489313037;S;N;NULL
RE353505;353505;S. POLO - PIEVE;NULL;613055,5;943973,5;1;NULL;NULL;S;397313055;S;N;NULL
RE353506;353506;S. POLO - INC. VIA F. ARDEATINE;NULL;613018,436;943059,07;1;NULL;NULL;S;305913018;S;N;NULL
RE353508;353508;ROSSENA - VIA FONTANA MORTA;NULL;612932,206;937730,568;5;NULL;NULL;S;773012932;S;N;NULL
RE353509;353509;ROSSENA;NULL;613349,994;937549,249;1;NULL;NULL;S;754913349;S;N;NULL
RE353510;353510;ROSSENA - CASALECCHIO;NULL;614007,028;937201,687;1;NULL;NULL;S;720114007;S;N;NULL
RE353511;353511;ROSSENA - INC. CASALINO;NULL;614643,008;936843,127;1;NULL;NULL;S;684314643;S;N;NULL
RE353512;353512;ROSSENA - INC. CANOSSA;NULL;615199,75;936216;1;NULL;NULL;S;621615199;S;N;NULL
RE353513;353513;MONTECCHIO - VIA PER S. POLO;NULL;614423,562;949902,438;1;NULL;NULL;S;990214423;S;N;NULL
RE353514;353514;MONTECCHIO - INC. VIA GOBETTI;NULL;614803,812;950487,938;1;NULL;NULL;S;48714803;S;N;NULL
RE354001;354001;GNANA - LATTERIA;NULL;615414,96;921640,802;5;NULL;NULL;S;164015414;S;N;NULL
RE354003;354003;GNANA - CA' DEL CONTE;NULL;616073,249;920496,33;1;NULL;NULL;S;49616073;S;N;NULL
RE354004;354004;CA' DEL ROSSO;NULL;616160,492;920063,287;1;NULL;NULL;S;6316160;S;N;NULL
RE354005;354005;MULINELLO;NULL;615977,375;919520,188;1;NULL;NULL;S;952015977;S;N;NULL
RE354006;354006;GATTA - FRULLO;NULL;616545,375;918692,812;1;NULL;NULL;S;869216545;S;N;NULL
RE354007;354007;GATTA;NULL;616746,625;918388,812;1;NULL;NULL;S;838816746;S;N;NULL
RE354008;354008;GATTA - S. BARTOLOMEO;NULL;617085,812;917697,375;1;NULL;NULL;S;769717085;S;N;NULL
RE354009;354009;CARNIANA;NULL;616838,61;916287,242;1;NULL;NULL;S;628716838;S;N;NULL
RE354010;354010;MERUZZO;NULL;616574,107;915831,056;1;NULL;NULL;S;583116574;S;N;NULL
RE354011;354011;MERUZZO - INC. RAZZOLO;NULL;616142,217;915065,543;5;NULL;NULL;S;506516142;S;N;NULL
RE354012;354012;MERUZZO - CASA PIOPPA;NULL;616075,867;914785,171;1;NULL;NULL;S;478516075;S;N;NULL
RE354013;354013;VILLA MINOZZO;NULL;616928,14;913693,66;1;NULL;NULL;S;369316928;S;N;NULL
